Cantone,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Zurigo,102'324,98'814,99'867,99'999,100'063,100'011,100'621,99'316,99'026,99'395,103'714,101'489,96'491,97'846
Berna,75'468,73'889,75'989,77'089,76'862,77'568,78'287,77'482,76'651,76'693,78'191,79'410,77'393,81'199
Lucerna,62'696,60'575,63'979,64'471,64'477,65'644,66'257,66'378,66'807,67'275,68'115,68'810,67'609,72'019
Uri,48'083,47'938,48'047,50'061,50'628,52'087,52'121,52'366,52'580,53'344,53'967,54'715,53'910,56'194
Svitto,58'226,58'065,58'561,57'966,58'080,59'043,59'299,60'289,60'094,60'766,61'429,62'286,62'121,66'333
Obvaldo,64'856,63'272,66'245,66'591,66'510,65'383,64'988,65'465,66'512,66'577,66'840,69'422,67'843,70'974
Nidvaldo,60'196,59'361,64'142,65'185,66'200,69'083,70'626,75'217,72'119,70'783,71'113,70'109,66'192,72'277
Glarona,65'186,63'054,64'336,65'636,65'557,67'904,68'513,68'557,67'824,70'284,69'103,71'395,68'122,72'650
Zugo,145'845,143'393,156'439,154'733,155'396,161'267,153'635,158'888,159'093,153'188,155'986,159'609,158'474,174'570
Friborgo,60'542,57'957,58'847,59'184,58'406,59'940,60'364,59'779,59'057,59'418,60'166,60'764,58'357,61'808
Soletta,66'514,63'651,65'312,66'051,65'901,66'432,66'920,66'645,65'935,66'146,67'457,67'904,65'642,69'576
Basilea Città,162'749,159'273,160'120,167'406,165'226,165'806,168'967,171'363,182'932,190'586,196'104,196'189,192'092,204'070
Basilea Campagna,68'723,66'941,68'915,69'994,69'043,69'638,71'249,72'014,71'849,72'397,72'396,72'078,70'513,73'986
Sciaffusa,81'997,79'300,85'305,86'208,86'754,87'650,85'987,84'853,85'020,85'287,87'820,88'764,87'546,98'741
Appenzello Esterno,54'153,51'971,54'360,55'365,55'281,57'016,57'529,57'597,57'497,56'525,57'984,58'810,61'658,64'559
Appenzello Interno,53'773,52'307,56'255,57'615,58'016,60'023,62'290,62'350,63'088,62'463,64'133,64'877,64'336,70'728
San Gallo,74'201,71'319,73'715,74'762,72'863,74'153,74'702,73'729,74'091,74'340,75'212,76'513,75'301,81'218
Grigioni,67'119,66'661,68'236,69'827,70'543,72'149,72'283,71'398,71'547,71'473,73'189,75'174,73'297,76'991
Argovia,67'266,64'630,64'829,65'338,64'720,65'251,65'318,64'040,63'975,64'084,64'760,65'260,63'929,64'346
Turgovia,60'174,57'677,60'049,61'141,61'198,61'744,61'776,60'472,60'974,60'755,61'758,62'437,62'438,67'764
Ticino,81'348,78'763,80'201,82'693,82'658,84'463,85'099,84'359,83'712,82'716,86'333,87'936,82'617,94'377
Vaud,68'588,67'110,69'836,70'043,73'354,70'497,71'365,69'812,73'173,69'959,73'334,73'100,69'688,76'834
Vallese,53'543,53'984,54'718,54'776,54'317,54'001,53'600,54'523,54'238,54'466,56'339,57'490,54'827,57'387
Neuchâtel,79'451,74'038,75'886,81'949,84'090,84'893,85'868,87'011,85'086,87'245,91'314,92'818,86'951,99'999
Ginevra,107'009,102'849,105'679,105'713,106'962,107'656,106'275,104'025,103'391,104'478,108'371,108'790,102'954,110'932
Giura,62'084,57'939,59'345,61'564,62'203,64'586,65'932,64'265,63'815,65'176,68'161,69'363,62'810,72'169
Svizzera,80'000,77'566,79'502,80'347,80'487,80'923,81'285,80'654,80'953,80'995,83'333,83'598,80'644,85'396